Date,Sales_USD_cumsum
2021-02,269683984.5239285
2021-03,543886295.1132257
2021-04,803410181.1603334
2021-05,1164360620.2970965
2021-06,1342639201.94
2021-07,1602752777.2238708
2021-08,3131968919.3616138
2021-09,6471293282.220667
2021-10,8591339369.382257
2021-11,9781819651.405
