,total_sales
rarible,2067159457.0
cryptokitties,777541.0
sorare,437851.0
zed-run-official,225467.0
axie,174773.0
town-star,148783.0
parallelalpha,91814.0
sandbox,78173.0
art-blocks-factory,61249.0
mycryptoheroes,53874.0
