,thirty_day_change
cryptoskulls,1699.7083539539492
capsulehouse,22.0100152774273
world-of-women-nft,9.756227271357652
cyberkongz-vx,6.966295151087584
autoglyphs,6.3125
robotos-official,6.2712326416171935
fluf-world,5.994401302117393
acclimatedmooncats,5.682724661288798
koala-intelligence-agency,5.596816611322061
alienfrensnft,3.2459214281599
