Date,Sales_USD_cumsum
2021-08-25,3914466731.12
2021-08-26,4050615028.02
2021-08-27,4258766143.57
2021-08-28,4590295406.72
2021-08-29,4978931765.21
2021-08-30,5206486952.06
2021-08-31,5363242858.95
2021-09-01,5514959669.74
2021-09-02,5660670177.04
2021-09-03,5790191091.27
2021-09-04,5892927584.89
2021-09-05,5981054012.14
2021-09-06,6055278415.96
2021-09-07,6108395657.3
2021-09-08,6151416752.17
2021-09-09,6191056143.26
2021-09-10,6228068306.0
2021-09-11,6259099528.12
2021-09-12,6285874436.84
2021-09-13,6339455797.13
2021-09-14,6378333978.96
2021-09-15,6430468064.52
2021-09-16,6525734135.93
2021-09-17,6565483822.62
2021-09-18,6605802962.12
2021-09-19,6639517628.74
2021-09-20,6670549527.34
2021-09-21,6713692300.32
2021-09-22,6737687039.48
2021-09-23,6796515230.88
2021-09-24,6850331119.11
2021-09-25,6911718458.71
2021-09-26,6978628403.72
2021-09-27,7082115643.91
2021-09-28,7183234755.04
2021-09-29,7258880053.78
2021-09-30,7351657769.58
2021-10-01,7438397864.9
2021-10-02,7517092938.16
2021-10-03,7610628795.98
2021-10-04,7738337174.9
2021-10-05,7848288311.94
2021-10-06,7927145125.8
2021-10-07,8019545103.71
2021-10-08,8123808751.42
2021-10-09,8182217292.98
2021-10-10,8238557984.76
2021-10-11,8290666767.64
2021-10-12,8345876841.14
2021-10-13,8412019539.62
2021-10-14,8460900096.08
2021-10-15,8521832824.74
2021-10-16,8568835720.08
2021-10-17,8621377082.08
2021-10-18,8679946477.28
2021-10-19,8788543906.51
2021-10-20,8878464925.15
2021-10-21,8932409902.33
2021-10-22,8987609057.61
2021-10-23,9093178428.46
2021-10-24,9166815200.37
2021-10-25,9217392642.61
2021-10-26,9259909672.02
2021-10-27,9368154865.23
2021-10-28,9407716706.29
2021-10-29,9450085350.93
2021-10-30,9584712030.24
2021-10-31,9651053069.89
2021-11-01,9686591841.18
2021-11-02,9769205151.07
2021-11-03,9812304480.83
2021-11-04,9859177132.54
2021-11-05,9890101769.5
2021-11-06,9948557762.72
2021-11-07,10010966054.63
2021-11-08,10088033031.85
2021-11-09,10140008108.45
2021-11-10,10199018447.07
2021-11-11,10234561613.17
2021-11-12,10228364893.45
