Date,Number_of_Sales,Active_Market_Wallets,Primary_Sales,Secondary_sales
2017-06,782.2677050882659,61.76393237319975,457.4483904465212,324.81931464174465
2017-07,18.741935483870968,1.7096774193548387,0.0,18.741935483870968
2017-08,3.5806451612903225,0.6129032258064516,0.0,3.5806451612903225
2017-09,2.066666666666667,0.4,0.0,2.066666666666667
2017-10,1.6774193548387097,0.1935483870967742,0.0,1.6774193548387097
2017-11,797.3333333333334,33.666666666666664,615.6666666666666,181.66666666666674
2017-12,23840.548387096773,1778.258064516129,14824.290322580646,9016.258064516127
2018-01,2909.7096774193546,189.16129032258064,1809.5483870967741,1100.1612903225805
2018-02,4444.142857142857,120.0,2982.8571428571427,1461.2857142857142
2018-03,4333.741935483871,142.61290322580646,3151.935483870968,1181.8064516129034
2018-04,3821.633333333333,124.63333333333334,2811.0333333333333,1010.5999999999999
2018-05,2651.4193548387098,113.7741935483871,2012.225806451613,639.1935483870968
2018-06,2733.8333333333335,95.03333333333333,2158.8,575.0333333333333
2018-07,2096.935483870968,78.54838709677419,1642.258064516129,454.6774193548388
2018-08,3636.8709677419356,94.70967741935483,2863.548387096774,773.3225806451615
2018-09,6035.6,112.66666666666667,4904.666666666667,1130.9333333333334
2018-10,4507.580645161291,64.38709677419355,3632.2903225806454,875.2903225806454
2018-11,5022.766666666666,91.86666666666666,4062.366666666667,960.3999999999996
2018-12,5209.1612903225805,90.19354838709677,3889.548387096774,1319.6129032258063
2019-01,4006.2258064516127,85.51612903225806,2900.5806451612902,1105.6451612903224
2019-02,4045.1785714285716,102.21428571428571,2872.8214285714284,1172.3571428571431
2019-03,6234.258064516129,109.51612903225806,4773.354838709677,1460.9032258064517
2019-04,4391.866666666667,104.5,3310.4,1081.4666666666667
2019-05,4282.387096774193,146.80645161290323,3104.0,1178.3870967741932
2019-06,3157.866666666667,113.76666666666667,1955.0333333333333,1202.8333333333335
2019-07,2999.8387096774195,80.03225806451613,2144.8064516129034,855.0322580645161
2019-08,3441.7096774193546,103.7741935483871,2578.8709677419356,862.838709677419
2019-09,1896.1333333333334,63.833333333333336,1302.2,593.9333333333334
2019-10,3712.3548387096776,104.45161290322581,2883.8387096774195,828.516129032258
2019-11,6812.566666666667,193.26666666666668,2880.3,3932.2666666666664
2019-12,7512.967741935484,117.80645161290323,2665.1935483870966,4847.774193548387
2020-01,8106.125,106.0,3086.46875,5019.65625
2020-02,6142.862068965517,298.7586206896552,2984.2413793103447,3158.6206896551726
2020-03,6299.580645161291,148.2258064516129,2756.1612903225805,3543.41935483871
2020-04,5204.266666666666,137.1,2349.3333333333335,2854.933333333333
2020-05,2946.548387096774,165.8709677419355,1949.225806451613,997.3225806451612
2020-06,2266.0666666666666,122.6,1625.8,640.2666666666667
2020-07,1950.4193548387098,113.6774193548387,1297.9354838709678,652.483870967742
2020-08,1429.516129032258,110.35483870967742,964.3225806451613,465.1935483870967
2020-09,2154.6,250.26666666666668,1161.2333333333333,993.3666666666666
2020-10,3068.451612903226,240.90322580645162,1866.1290322580646,1202.3225806451612
2020-11,3305.9,305.93333333333334,2172.4,1133.5
2020-12,2623.6129032258063,263.93548387096774,1833.9032258064517,789.7096774193546
2021-01,2428.032258064516,300.8709677419355,1672.483870967742,755.5483870967741
2021-02,3923.785714285714,704.3571428571429,1999.4285714285713,1924.357142857143
2021-03,8192.645161290322,1275.8387096774193,5265.903225806452,2926.7419354838703
2021-04,5396.966666666666,918.1333333333333,3838.4666666666667,1558.4999999999995
2021-05,4901.612903225807,703.1935483870968,3241.483870967742,1660.1290322580649
2021-06,10860.433333333332,856.1333333333333,7518.433333333333,3341.999999999999
2021-07,13010.90322580645,1340.1612903225807,7461.0,5549.903225806451
2021-08,42898.41935483871,3557.1612903225805,20660.774193548386,22237.645161290326
2021-09,28470.766666666666,3202.3333333333335,14340.266666666666,14130.5
2021-10,54849.41935483871,6178.709677419355,31348.129032258064,23501.290322580648
2021-11,38285.166666666664,1545.6669275725314,25115.916666666668,13169.249999999996
